host,class,dead_url,wayback_snapshot,file,ref_num,notes
classicracingsims.net,dns-fail,https://classicracingsims.net/NASCAR_Racing_3/,,Games/NASCAR/1999 - NASCAR Racing 3.md,27,
classicreload.com,404,https://classicreload.com/fort-apache.html,,Games/Impressions/1991 - Fort Apache.md,16,
classicreload.com,404,https://classicreload.com/quest-for-glory-ii-vga-remake.html,,Games/Fan Games/2008 - Quest for Glory II VGA Remake.md,13,
colorcomputerarchive.com,404,https://colorcomputerarchive.com/repo/Documents/Walkthroughs/Sierra%20Games/The%20Black%20Cauldron%20Walkthrough%20(Sierra,,Games/Disney/1986 - The Black Cauldron.md,6,
computerhistory.org,404,https://www.computerhistory.org/brochures/s/sierra-on-line/,,Publishers/Sierra On-Line.md,8,
coolpooltest.tripod.com,dns-fail,https://coolpooltest.tripod.com/id6.html,,Games/3D Ultra/2000 - Maximum Pool.md,28,
crick.com,ssl-error,https://crick.com/drbrain.html,,Games/Dr. Brain/1995 - The Lost Mind of Dr. Brain.md,4,
csoon.com,ssl-error,http://www.csoon.com/issue12/shivers.htm,,Games/Shivers/1995 - Shivers.md,22,
csoon.com,ssl-error,http://www.csoon.com/issue2/KQVII.HTM,,Games/King's Quest/1994 - King's Quest VII - The Princeless Bride.md,29,
csoon.com,ssl-error,http://www.csoon.com/issue6/lastd.html,,Games/Coktel/1995 - The Last Dynasty.md,4,
csoon.com,ssl-error,https://www.csoon.com/issue10/trophy.htm,,Games/Trophy Bass/1995 - Trophy Bass.md,5,
csoon.com,ssl-error,https://www.csoon.com/issue19/riserule.htm,,Games/Strategy/1996 - The Rise & Rule of Ancient Empires.md,11,
docs.scummvm.org,404,https://docs.scummvm.org/en/latest/other_platforms/steamdeck.html,,Guides/Playing Sierra Games Today.md,3,
dosdays.co.uk,404,https://www.dosdays.co.uk/games/kings_quest/kq2.php,,Games/King's Quest/1985 - King's Quest II - Romancing the Throne.md,3,
dosgamesarchive.com,404,https://www.dosgamesarchive.com/download/cohort-fighting-for-rome,,Games/Impressions/1991 - Cohort Fighting for Rome.md,15,
dosgamesarchive.com,404,https://www.dosgamesarchive.com/download/rise-of-the-dragon/,,Games/Dynamix/1990 - Rise of the Dragon.md,39,
dualshockers.com,404,https://www.dualshockers.com/leisure-suit-larry-wet-dreams-dont-dry-review/,,Publishers/Assemble Entertainment.md,15,
ebay.co.uk,404,https://www.ebay.co.uk/itm/203781868341,,Games/Arcade/1982 - Pest Patrol.md,8,
ebay.co.uk,404,https://www.ebay.co.uk/itm/Gray-Matter-PC-DVD/123456789,,Games/Spiritual Successors/2010 - Gray Matter.md,29,
edenwaith.com,ssl-error,https://www.edenwaith.com/blog/index.php?p=87,,Designers/Bob Heitman.md,7,
emuparadise.me,404,https://www.emuparadise.me/Abandonware_Games/Air_Bucks_(1992,,Games/Impressions/1992 - Air Bucks.md,22,
emuparadise.me,404,https://www.emuparadise.me/Abandonware_Games/Detroit_(1993,,Games/Impressions/1994 - Detroit.md,10,
emuparadise.me,404,https://www.emuparadise.me/Abandonware_Games/Fates_Of_Twinion_V1.0_(1993,,Games/INN/1993 - Fates of Twinion.md,20,
emuparadise.me,404,https://www.emuparadise.me/Abandonware_Games/Front_Page_Sport_Football_Pro_96_Season_(1995,,Games/Front Page Sports/1995 - Front Page Sports - Football Pro '96.md,17,
emuparadise.me,404,https://www.emuparadise.me/Abandonware_Games/Front_Page_Sport_Football_Pro_96_Season_(1995,,Games/Front Page Sports/1992 - Front Page Sports Football 92.md,12,
emuparadise.me,404,https://www.emuparadise.me/Abandonware_Games/Front_Page_Sports_Football_Pro_95_(1994,,Games/Front Page Sports/1994 - Front Page Sports - Football Pro '95.md,16,
emuparadise.me,404,"https://www.emuparadise.me/Abandonware_Games/Shadow_of_Yserbius,_The_(1993",,Games/INN/1991 - The Shadow of Yserbius.md,20,
emuparadise.me,404,https://www.emuparadise.me/Abandonware_Games/Shannara_(1995,,Games/Standalone/1995 - Shannara.md,28,
emuparadise.me,404,https://www.emuparadise.me/Atari_8-bit_Family_ROMs/Aquatron_(1983,,Games/Arcade/1983 - Aquatron.md,13,
emuparadise.me,404,https://www.emuparadise.me/ScummVM_Games/Troll's_Tale_(Floppy_DOS,,Games/Standalone/1983 - Troll's Tale.md,13,
emuparadise.me,404,https://www.emuparadise.me/Sony_Playstation_ISOs/Arthur_to_Astaroth_no_Nazo_Makaimura_-_Incredible_Toons_(Japan,,Games/Incredible Machine/1996 - Arthur to Astaroth no Nazo Makaimura - Incredible Toons.md,14,
emuparadise.me,404,https://www.emuparadise.me/games/geisha,,Games/Coktel/1990 - Geisha.md,20,
en.wikipedia.org,404,https://en.wikipedia.org/wiki/Gold_Rush!_(video_game,,Publishers/Sunlight Games - KISS ltd.md,6,
encoreusa.com,dns-fail,https://www.encoreusa.com/,,Games/Hoyle/2006 - Hoyle Casino.md,12,
encoreusa.com,dns-fail,https://www.encoreusa.com/,,Games/Hoyle/2011 - Hoyle Puzzle and Board Games.md,21,
engadget.com,404,https://www.engadget.com/the-glory-of-quest-for-glory/,,Games/Quest for Glory/1993 - Quest for Glory IV - Shadows of Darkness.md,7,
engadget.com,404,https://www.engadget.com/valves-strange-history-of-talent-acquisitions--this-weeks gaming-news-153020318.html,,Games/Valve/1999 - Team Fortress Classic.md,2,
eurogamer.net,404,https://www.eurogamer.net/homeworld-cataclysm-retrospective,,Games/Homeworld/2000 - Homeworld - Cataclysm.md,44,
eyeondesign.aiga.org,ssl-error,https://eyeondesign.aiga.org/roberta-williams-is-the-worlds-first-graphic-computer-game-designer-but-shes-famous-for-all-the-wrong-reasons/,http://web.archive.org/web/20260225213902/https://eyeondesign.aiga.org/roberta-williams-is-the-worlds-first-graphic-computer-game-designer-but-shes-famous-for-all-the-wrong-reasons/,Designers/Roberta Williams.md,13,applied
filfre.net,404,https://www.filfre.net/2012/08/kings-quest/,,Series/King's Quest Series.md,3,
filfre.net,404,https://www.filfre.net/2013/10/gold-rush/,,Publishers/Sunlight Games - KISS ltd.md,12,
filfre.net,404,https://www.filfre.net/2016/02/space-quest/,,Series/Space Quest Series.md,4,
filfre.net,404,https://www.filfre.net/2018/07/quest-for-glory/,,Series/Quest for Glory Series.md,3,
